t,month,year,covid,control,extra_mon,extra_tue,extra_wed,extra_thu,extra_fri,extra_sat,extra_sun,top30,fulldata,mon_ct,tue_ct,wed_ct,thu_ct,fri_ct,sat_ct,sun_ct,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,day_ct
22,3,2005,0,0,0,1,1,1,0,0,0,1,1,4,5,5,5,4,4,4,378477.0,83460.0,19465.94,2771.0299999999997,36459.94,241.33,24521.760000000002,6173.0,617.0,4562709.0,1064631.0,212332.0,1754821.0,10016.0,1520909.0,12121
23,4,2005,0,0,0,0,0,0,1,1,0,0,1,4,4,4,4,5,5,4,229727.0,33998.0,12444.06,1775.91,9582.03,80.77,10115.24,2907.0,269.0,1513315.0,580722.0,123016.0,306968.0,3542.0,499067.0,30570
23,4,2005,0,0,0,0,0,0,1,1,0,1,1,4,4,4,4,5,5,4,364765.0,56139.0,13966.81,1625.42,24680.079999999998,137.99,15728.53,4625.0,512.0,2750910.0,754658.0,119799.0,991108.0,5110.0,880235.0,11760
24,5,2005,0,0,1,1,0,0,0,0,1,0,1,5,5,4,4,4,4,5,235706.0,33915.0,12570.8,1809.72,8718.57,75.4,10740.75,2288.0,263.0,1567594.0,585762.0,126548.0,291644.0,2309.0,561331.0,31341
24,5,2005,0,0,1,1,0,0,0,0,1,1,1,5,5,4,4,4,4,5,379096.0,59704.0,14545.94,1956.1,25998.08,108.23,17095.62,3589.0,616.0,2996799.0,799275.0,131039.0,1094234.0,3020.0,969231.0,12865
25,6,2005,0,0,0,0,1,1,0,0,0,0,1,4,4,5,5,4,4,4,233031.0,50007.0,17838.29,3201.91,11784.97,135.21,17046.93,3642.0,383.0,2622177.0,881336.0,214927.0,502978.0,4793.0,1018143.0,30990
25,6,2005,0,0,0,0,1,1,0,0,0,1,1,4,4,5,5,4,4,4,376164.0,89735.0,20411.62,3580.62,38382.34,164.48,27195.86,6274.0,1040.0,5194909.0,1183836.0,279800.0,1942525.0,5351.0,1783397.0,12330
26,7,2005,0,0,0,0,0,0,1,1,1,0,1,4,4,4,4,5,5,5,239454.0,61424.0,20658.28,4980.98,13850.23,166.53,21768.09,5330.0,529.0,3537850.0,1049075.0,364618.0,648805.0,5450.0,1469902.0,31155
26,7,2005,0,0,0,0,0,0,1,1,1,1,1,4,4,4,4,5,5,5,388507.0,105343.0,23961.0,4546.65,42974.74,241.22,33619.34,8521.0,1474.0,6743760.0,1467844.0,363318.0,2479352.0,8498.0,2424748.0,12741
27,8,2005,0,0,1,1,1,0,0,0,0,0,1,5,5,5,4,4,4,4,241415.0,53625.0,19146.2,3999.89,12437.04,206.93,17835.11,5479.0,540.0,2741412.0,942467.0,277570.0,488859.0,9206.0,1023310.0,31403
27,8,2005,0,0,1,1,1,0,0,0,0,1,1,5,5,5,4,4,4,4,389489.0,87806.0,21388.32,3232.02,36259.0,265.39,26661.11,7973.0,1269.0,4839285.0,1221955.0,229719.0,1738342.0,11052.0,1638217.0,12803
28,9,2005,0,0,0,0,0,1,1,0,0,0,1,4,4,4,5,5,4,4,218058.0,31892.0,12495.97,1527.26,8131.02,87.84,9649.86,4545.0,404.0,1409573.0,562877.0,95029.0,277108.0,2710.0,471849.0,30510
28,9,2005,0,0,0,0,0,1,1,0,0,1,1,4,4,4,5,5,4,4,356195.0,55343.0,14320.23,1630.03,24237.94,115.3,15039.37,6987.0,412.0,2640925.0,787086.0,105060.0,961108.0,3608.0,784063.0,12330
29,10,2005,0,0,1,0,0,0,0,1,1,0,1,5,4,4,4,4,5,5,223949.0,34462.0,13005.49,2005.04,7935.88,68.05,11447.4,2982.0,242.0,1560546.0,577375.0,132203.0,261639.0,3208.0,586121.0,31341
29,10,2005,0,0,1,0,0,0,0,1,1,1,1,5,4,4,4,4,5,5,368763.0,65442.0,15190.88,2043.44,29829.77,133.8,18244.09,7493.0,482.0,3430454.0,803630.0,154966.0,1427832.0,5952.0,1038074.0,12741
30,11,2005,0,0,0,1,1,0,0,0,0,0,1,4,5,5,4,4,4,4,213845.0,38465.0,14501.43,1994.37,10421.460000000001,64.69,11483.35,2222.0,372.0,1770975.0,661538.0,124941.0,370241.0,2164.0,612091.0,29850
30,11,2005,0,0,0,1,1,0,0,0,0,1,1,4,5,5,4,4,4,4,352293.0,68078.0,16129.53,1901.08,31899.22,115.75,18032.39,3364.0,555.0,3432868.0,861212.0,133057.0,1426760.0,3719.0,1008120.0,12330
31,12,2005,0,0,0,0,0,1,1,1,0,0,1,4,4,4,5,5,5,4,212162.0,55736.0,20966.04,3074.93,13996.32,211.68,17486.97,3935.0,484.0,2668209.0,991126.0,201615.0,518699.0,6627.0,950142.0,31775
31,12,2005,0,0,0,0,0,1,1,1,0,1,1,4,4,4,5,5,5,4,360181.0,98354.0,25160.6,3392.7599999999998,40129.1,335.89,29335.5,6816.0,623.0,5161732.0,1321489.0,241058.0,1858154.0,11726.0,1729305.0,12617
32,1,2006,0,0,1,1,0,0,0,0,1,0,1,5,5,4,4,4,4,5,215906.0,38899.0,15233.1,2222.98,9353.03,79.76,12010.12,3404.0,503.0,1869344.0,714566.0,146657.0,319526.0,2396.0,686199.0,34193
32,1,2006,0,0,1,1,0,0,0,0,1,1,1,5,5,4,4,4,4,5,365381.0,73400.0,18515.79,2816.19,31338.07,158.49,20571.45,6383.0,867.0,3983221.0,1001528.0,204066.0,1486315.0,5660.0,1285652.0,12493
33,2,2006,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,196411.0,41711.0,14728.1,2290.64,10465.85,241.94,13984.67,3517.0,575.0,1980734.0,680629.0,147667.0,371043.0,12104.0,769291.0,30268
33,2,2006,0,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4,4,4,334836.0,76899.0,17582.65,2572.26,33736.97,220.45,22786.71,7776.0,734.0,3949338.0,977437.0,186178.0,1432925.0,10236.0,1342562.0,11200
34,3,2006,0,0,0,0,1,1,1,0,0,0,1,4,4,5,5,5,4,4,223463.0,48778.0,17771.94,2362.46,10993.46,196.62,17453.48,2704.0,414.0,2401047.0,824512.0,149362.0,399996.0,7199.0,1019978.0,33511
34,3,2006,0,0,0,0,1,1,1,0,0,1,1,4,4,5,5,5,4,4,381754.0,87119.0,20193.24,2567.2,36604.1,277.75,27476.68,4882.0,639.0,4593380.0,1071715.0,183974.0,1689508.0,11081.0,1637102.0,12400
35,4,2006,0,0,0,0,0,0,0,1,1,0,1,4,4,4,4,4,5,5,216605.0,42578.0,15310.31,2044.99,9726.31,250.03,15246.28,2438.0,331.0,2033767.0,705766.0,133855.0,345465.0,11346.0,837335.0,33210
35,4,2006,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,4,5,5,368746.0,76137.0,17975.93,2041.92,31168.71,210.47,24740.2,4166.0,698.0,3938887.0,982089.0,139885.0,1395785.0,11671.0,1409457.0,12180
36,5,2006,0,0,1,1,1,0,0,0,0,0,1,5,5,5,4,4,4,4,223331.0,44266.0,15650.06,2309.08,10231.96,98.12,15976.92,2509.0,370.0,2171958.0,730385.0,146087.0,384705.0,3114.0,907667.0,33790
36,5,2006,0,0,1,1,1,0,0,0,0,1,1,5,5,5,4,4,4,4,379588.0,78427.0,17954.71,2620.55,32398.98,135.65,25317.31,4548.0,866.0,4216291.0,996485.0,176446.0,1543069.0,4445.0,1495846.0,12555
37,6,2006,0,0,0,0,0,1,1,0,0,0,1,4,4,4,5,5,4,4,221382.0,56394.0,20712.67,3696.01,12418.39,127.47,19439.29,3523.0,432.0,3108335.0,1047082.0,288866.0,559395.0,4341.0,1208651.0,33720
37,6,2006,0,0,0,0,0,1,1,0,0,1,1,4,4,4,5,5,4,4,376933.0,94289.0,24338.43,3847.94,33453.41,202.79,32446.3,6565.0,1377.0,5723731.0,1441729.0,319608.0,1772808.0,7508.0,2182078.0,12210
38,7,2006,0,0,1,0,0,0,0,1,1,0,1,5,4,4,4,4,5,5,229647.0,57044.0,21549.32,3336.44,12561.66,141.93,19454.63,3676.0,436.0,3159696.0,1105655.0,244235.0,560186.0,5252.0,1244368.0,34534
38,7,2006,0,0,1,0,0,0,0,1,1,1,1,5,4,4,4,4,5,5,391597.0,93727.0,25245.98,3828.28,31914.1,180.16,32558.44,7059.0,1442.0,5742568.0,1493493.0,306946.0,1722521.0,6149.0,2213459.0,12524
