"","Value","Std. Error","t value"
"as.factor(airport)BPT",-0.0591581844591087,0.114574697470206,-0.516328524231909
"as.factor(airport)BQK",-0.434466886090118,0.115440810880637,-3.76354672819603
"as.factor(airport)BQN",0.731244448005126,0.12928645218151,5.65600212293322
"as.factor(airport)BRD",-0.407083746237616,0.116356571092164,-3.49858836863774
"as.factor(airport)BRO",-0.0207553239958834,0.114570920556713,-0.181156997735821
"as.factor(airport)BRW",-0.337961052495009,0.118338789716537,-2.85587720902456
"as.factor(airport)BTM",-0.835722408191954,0.115441003435199,-7.2393896737139
"as.factor(airport)BTR",0.0129551808629383,0.114570127085132,0.113076429192681
"as.factor(airport)BTV",-0.0970563968824818,0.11457172851743,-0.847123440820884
"as.factor(airport)BUF",-0.135393599592455,0.114681759508693,-1.18060274077145
"as.factor(airport)BUR",-0.380146228854622,0.114725899801089,-3.31351708301016
"as.factor(airport)BWI",-0.90462465425439,0.118211469184655,-7.65259632160816
"as.factor(airport)BZN",-0.116658383201491,0.114573124652063,-1.01820024159907
"as.factor(airport)CAE",-0.0693114793715721,0.114570127085133,-0.604969909128837
"as.factor(airport)CAK",0.281833636339386,0.114568664573068,2.45995392710232
"as.factor(airport)CDB",1.37659353523973,0.146494900983928,9.39686996607995
"as.factor(airport)CDC",-0.310195878030682,0.11833695172538,-2.62129346335151
"as.factor(airport)CDV",-0.118446763872335,0.115441648760198,-1.02603146389895
"as.factor(airport)CGI",0.0607153383854365,0.115441139419447,0.525941953542504
"as.factor(airport)CHA",-0.0812099317474464,0.114572158099314,-0.70881035231135
"as.factor(airport)CHO",-0.0288297881042135,0.11456864263648,-0.251637685851693
"as.factor(airport)CHS",-0.18013980608519,0.114723974701813,-1.57020192643607
"as.factor(airport)CID",-0.00749727760466049,0.114575583459576,-0.0654352120956523
"as.factor(airport)CIU",-0.312455498363361,0.114575215775257,-2.72707754682525
"as.factor(airport)CKB",0.39578701608386,0.115441262169649,3.42847096995721
"as.factor(airport)CLE",-0.249224451082958,0.115174050327545,-2.16389412696858
"as.factor(airport)CLL",-0.083141889956097,0.114571633964721,-0.725676042830097
"as.factor(airport)CLT",-1.77642445056901,0.134295867209816,-13.2276926124139
"as.factor(airport)CMH",-0.296334872417842,0.115112067996888,-2.57431629519376
"as.factor(airport)CMI",0.145318971004925,0.114571394330804,1.26837045017836
"as.factor(airport)CMX",0.304077657436279,0.115441442200105,2.63404243433821
"as.factor(airport)CNY",-0.0709051444349812,0.116352366916641,-0.609400103444221
"as.factor(airport)COD",-0.00445655495348056,0.116353898060701,-0.0383017245469131
